ENTRY            10072   20131029                             13941007200000001 
SUBENT        10072001   20131029                             13941007200100001 
BIB                 13         28                                 1007200100002 
INSTITUTE  (1USAANL)                                              1007200100003 
REFERENCE  (J,NSE,48,221,197206)                                  1007200100004 
AUTHOR     (J.W.Meadows,J.F.Whalen)                               1007200100005 
TITLE      The Total Neutron Cross Sections of Lithium-6 from 100 1007200100006 
            to 1500 keV.                                          1007200100007 
FACILITY   (VDG) 3.5-MeV Van-de-Graaff.                           1007200100008 
INC-SOURCE (P-LI7) 7Li(p,n) reaction at 0 degrees.                1007200100009 
INC-SPECT  Monoenergetic source.                                  1007200100010 
METHOD     (TRN,PHD)                                              1007200100011 
DETECTOR   (SCIN,BF3) Concentric rings of BF3 counters used       1007200100012 
            below 650 keV. Above 650 keV these were replaced by a 1007200100013 
            5 x 5 cm diameter liquid scintillator with pulse-     1007200100014 
            height discrimination.                                1007200100015 
           Flux monitored by BF3 counters.                        1007200100016 
CORRECTION Corrected for background and for target thickness.     1007200100017 
ERR-ANALYS (ERR-S) Statistical error.                             1007200100018 
STATUS     (APRVD) Approved by author.                            1007200100019 
           Data taken from private communication, J. Whalen, June 1007200100020 
            1970.                                                 1007200100021 
HISTORY    (19701010C)                                            1007200100022 
           (19730509A) BIB correction.                            1007200100023 
           (19751210A) BIB corrections                            1007200100024 
           (19781213A) Converted to REACTION formalism            1007200100025 
           (19811016A) BIB update.                                1007200100026 
           (19841205A) BIB update, data heading correction.       1007200100027 
           (19991012A) Converted to new date formalism.           1007200100028 
           (20131023A) OS. REACTIONs in sub.3 corrected, minor    1007200100029 
             BIB updates.                                         1007200100030 
ENDBIB              28          0                                 1007200100031 
NOCOMMON             0          0                                 1007200100032 
ENDSUBENT           31          0                                 1007200199999 
SUBENT        10072002   19991012                             00001007200200001 
BIB                  2          2                                 1007200200002 
REACTION   (3-LI-6(N,TOT),,SIG)                                   1007200200003 
HISTORY    (19811016A) TITLE HEADING CORRECTED.                   1007200200004 
ENDBIB               2          0                                 1007200200005 
NOCOMMON             0          0                                 1007200200006 
DATA                 4        987                                 1007200200007 
EN         EN-RSL-HW  DATA       ERR-S                            1007200200008 
MEV        MEV        B          B                                1007200200009 
    .100300    .001500   1.648320    .060000                      1007200200010 
    .101300    .001500   1.524696    .060000                      1007200200011 
    .102300    .001500   1.679226    .060000                      1007200200012 
    .103300    .001500   1.668924    .060000                      1007200200013 
    .104300    .001500   1.617414    .060000                      1007200200014 
    .105300    .001500   1.638018    .060000                      1007200200015 
    .106300    .001500   1.586508    .060000                      1007200200016 
    .107300    .001500   1.668924    .060000                      1007200200017 
    .108300    .001500   1.710132    .060000                      1007200200018 
    .109300    .001500   1.524696    .060000                      1007200200019 
    .110300    .001500   1.710132    .060000                      1007200200020 
    .111300    .001500   1.638018    .060000                      1007200200021 
    .112300    .001500   1.617414    .060000                      1007200200022 
    .113300    .001500   1.638018    .060000                      1007200200023 
    .114300    .001500   1.607112    .060000                      1007200200024 
    .115300    .001500   1.534998    .060000                      1007200200025 
    .116300    .001500   1.668924    .060000                      1007200200026 
    .117300    .001500   1.759925    .060000                      1007200200027 
    .118300    .001500   1.646047    .060000                      1007200200028 
    .119300    .001500   1.687457    .060000                      1007200200029 
    .120300    .001500   1.853097    .060000                      1007200200030 
    .121300    .001500   1.614990    .060000                      1007200200031 
    .122400    .001500   1.677105    .060000                      1007200200032 
    .123400    .001500   1.770277    .050000                      1007200200033 
    .124400    .001500   1.708162    .050000                      1007200200034 
    .125400    .001500   1.739220    .050000                      1007200200035 
    .126400    .001500   1.853097    .050000                      1007200200036 
    .127400    .001500   1.749572    .050000                      1007200200037 
    .128400    .001500   1.697810    .050000                      1007200200038 
    .129400    .001500   1.718515    .050000                      1007200200039 
    .130400    .001500   1.749572    .050000                      1007200200040 
    .131400    .001500   1.728867    .050000                      1007200200041 
    .132400    .001500   1.759925    .050000                      1007200200042 
    .133400    .001500   1.853097    .050000                      1007200200043 
    .134400    .001500   1.873802    .050000                      1007200200044 
    .135400    .001500   1.862137    .050000                      1007200200045 
    .136400    .001500   1.789316    .050000                      1007200200046 
    .137400    .001500   1.945361    .050000                      1007200200047 
    .138400    .001500   2.028585    .050000                      1007200200048 
    .139400    .001500   1.955764    .050000                      1007200200049 
    .140400    .001500   2.007779    .050000                      1007200200050 
    .141400    .001500   1.862137    .050000                      1007200200051 
    .142400    .001500   1.966166    .050000                      1007200200052 
    .143400    .001500   1.893346    .050000                      1007200200053 
    .144400    .001500   1.976570    .050000                      1007200200054 
    .145400    .001500   2.111809    .050000                      1007200200055 
    .146500    .001400   2.038988    .050000                      1007200200056 
    .147500    .001400   2.027979    .050000                      1007200200057 
    .148500    .001400   2.195235    .050000                      1007200200058 
    .149500    .001400   2.048886    .050000                      1007200200059 
    .150500    .001400   2.142967    .050000                      1007200200060 
    .151500    .001400   2.080246    .050000                      1007200200061 
    .152500    .001400   2.080246    .050000                      1007200200062 
    .153500    .001400   2.038432    .050000                      1007200200063 
    .154500    .001400   2.226595    .050000                      1007200200064 
    .155500    .001400   2.278863    .050000                      1007200200065 
    .156500    .001400   2.184781    .050000                      1007200200066 
    .157500    .001400   2.320677    .050000                      1007200200067 
    .158500    .001400   2.425212    .050000                      1007200200068 
    .159500    .001400   2.362491    .050000                      1007200200069 
    .160500    .001400   2.362491    .050000                      1007200200070 
    .161500    .001400   2.519293    .050000                      1007200200071 
    .162500    .001400   2.393851    .050000                      1007200200072 
    .163500    .001400   2.552472    .050000                      1007200200073 
    .164500    .001400   2.489448    .050000                      1007200200074 
    .165500    .001400   2.541968    .060000                      1007200200075 
    .166500    .001400   2.531464    .050000                      1007200200076 
    .167500    .001400   2.657512    .050000                      1007200200077 
    .168500    .001400   2.636504    .050000                      1007200200078 
    .169500    .001400   2.752048    .050000                      1007200200079 
    .170500    .001400   2.857088    .050000                      1007200200080 
    .171500    .001400   2.846584    .050000                      1007200200081 
    .172500    .001400   2.825576    .050000                      1007200200082 
    .173500    .001400   2.888599    .050000                      1007200200083 
    .174500    .001400   2.888599    .050000                      1007200200084 
    .175500    .001400   2.962128    .050000                      1007200200085 
    .176500    .001400   2.972632    .050000                      1007200200086 
    .177500    .001400   2.962128    .050000                      1007200200087 
    .178500    .001400   3.145241    .050000                      1007200200088 
    .179500    .001400   3.060805    .050000                      1007200200089 
    .180500    .001400   3.303558    .050000                      1007200200090 
    .181500    .001400   3.324667    .050000                      1007200200091 
    .182500    .001400   3.387994    .050000                      1007200200092 
    .183500    .001400   3.493539    .050000                      1007200200093 
    .184500    .001400   3.525203    .050000                      1007200200094 
    .185500    .001400   3.715184    .050000                      1007200200095 
    .186500    .001400   3.704629    .050000                      1007200200096 
    .187600    .001300   3.715184    .050000                      1007200200097 
    .188600    .001300   3.936828    .050000                      1007200200098 
    .189600    .001300   4.000155    .050000                      1007200200099 
    .190600    .001300   4.274572    .050000                      1007200200100 
    .191600    .001300   4.295681    .050000                      1007200200101 
    .192600    .001300   4.411781    .050000                      1007200200102 
    .193600    .001300   4.306236    .050000                      1007200200103 
    .194600    .001300   4.453999    .050000                      1007200200104 
    .195600    .001300   4.643980    .050000                      1007200200105 
    .196600    .001300   4.707307    .050000                      1007200200106 
    .197600    .001300   4.781188    .050000                      1007200200107 
    .198600    .001300   4.897288    .050000                      1007200200108 
    .199600    .001300   5.066160    .050000                      1007200200109 
    .200600    .001300   5.055605    .050000                      1007200200110 
    .201600    .001300   5.129487    .050000                      1007200200111 
    .202600    .001300   5.217660    .050000                      1007200200112 
    .203600    .001300   5.334315    .050000                      1007200200113 
    .204600    .001300   5.705490    .050000                      1007200200114 
    .205600    .001300   5.885775    .050000                      1007200200115 
    .206600    .001300   5.917590    .050000                      1007200200116 
    .207600    .001300   6.002429    .050000                      1007200200117 
    .208600    .001300   6.352395    .050000                      1007200200118 
    .209600    .001300   6.309975    .090000                      1007200200119 
    .209600    .001300   6.416025    .050000                      1007200200120 
    .210600    .001300   6.500865    .060000                      1007200200121 
    .211600    .001300   6.522075    .050000                      1007200200122 
    .212600    .001300   6.872040    .050000                      1007200200123 
    .213600    .001300   6.956880    .050000                      1007200200124 
    .214600    .001300   7.211400    .050000                      1007200200125 
    .215600    .001300   7.381080    .050000                      1007200200126 
    .216600    .001300   7.200795    .050000                      1007200200127 
    .217600    .001300   7.529550    .050000                      1007200200128 
    .218600    .001300   7.667415    .050000                      1007200200129 
    .219600    .001300   7.858305    .050000                      1007200200130 
    .220600    .001300   7.985565    .050000                      1007200200131 
    .221600    .001300   8.176455    .050000                      1007200200132 
    .222600    .001300   8.367345    .050000                      1007200200133 
    .223600    .001300   8.452185    .050000                      1007200200134 
    .224600    .001300   7.646205    .050000                      1007200200135 
    .225600    .001300   8.855175    .050000                      1007200200136 
    .226600    .001300   8.918805    .050000                      1007200200137 
    .227600    .001300   9.141510    .050000                      1007200200138 
    .228600    .001300   9.406635    .050000                      1007200200139 
    .229600    .001300   9.499050    .050000                      1007200200140 
    .230600    .001300   9.583486    .050000                      1007200200141 
    .231600    .001300   9.889566    .050000                      1007200200142 
    .232600    .001300   9.900121    .050000                      1007200200143 
    .233600    .001300  10.058438    .050000                      1007200200144 
    .233700    .001200  10.058438    .050000                      1007200200145 
    .234700    .001200  10.311746    .050000                      1007200200146 
    .235700    .001200  10.179770    .050000                      1007200200147 
    .236800    .001100  10.326543    .050000                      1007200200148 
    .237800    .001100  10.389446    .050000                      1007200200149 
    .238800    .001100  10.578154    .050000                      1007200200150 
    .239800    .001100  10.609605    .050000                      1007200200151 
    .240800    .001100  10.652510    .050000                      1007200200152 
    .241800    .001100  10.756742    .050000                      1007200200153 
    .242800    .001100  10.683780    .050000                      1007200200154 
    .243800    .001100  10.829704    .050000                      1007200200155 
    .244800    .001100  10.797465    .050000                      1007200200156 
    .245800    .001100  10.952601    .050000                      1007200200157 
    .246800    .001100  10.921574    .050000                      1007200200158 
    .247800    .001100  10.908081    .050000                      1007200200159 
    .248800    .001100  10.959388    .050000                      1007200200160 
    .249800    .001100  11.103051    .050000                      1007200200161 
    .250800    .001100  10.792658    .050000                      1007200200162 
    .251800    .001100  10.935472    .050000                      1007200200163 
    .252800    .001100  11.027281    .050000                      1007200200164 
    .253800    .001100  10.966075    .050000                      1007200200165 
    .254800    .001100  11.037482    .050000                      1007200200166 
    .255800    .001100  11.057884    .050000                      1007200200167 
    .256800    .001100  10.702000    .050000                      1007200200168 
    .257800    .001100  10.782315    .050000                      1007200200169 
    .258800    .001100  10.702000    .050000                      1007200200170 
    .259800    .001100  10.722079    .050000                      1007200200171 
    .260800    .001100  10.541370    .050000                      1007200200172 
    .261800    .001100  10.571488    .050000                      1007200200173 
    .262800    .001100  10.387385    .050000                      1007200200174 
    .263800    .001100  10.367448    .050000                      1007200200175 
    .264800    .001100  10.247823    .050000                      1007200200176 
    .265800    .001100  10.148136    .050000                      1007200200177 
    .267800    .001100   9.978668    .050000                      1007200200178 
    .268800    .001100   9.908443    .050000                      1007200200179 
    .269800    .001100   9.595969    .050000                      1007200200180 
    .270800    .001100   9.495171    .050000                      1007200200181 
    .271800    .001100   9.575810    .050000                      1007200200182 
    .272800    .001100   9.505251    .050000                      1007200200183 
    .273800    .001100   9.444772    .050000                      1007200200184 
    .274800    .001100   9.193262    .050000                      1007200200185 
    .275800    .001100   9.152539    .050000                      1007200200186 
    .276800    .001100   8.948923    .050000                      1007200200187 
    .277800    .001100   8.948923    .050000                      1007200200188 
    .278800    .001100   8.826753    .050000                      1007200200189 
    .279800    .001100   8.592534    .050000                      1007200200190 
    .280800    .001100   8.643741    .050000                      1007200200191 
    .281800    .001100   8.397948    .050000                      1007200200192 
    .282800    .001100   8.501109    .050000                      1007200200193 
    .283800    .001100   8.284979    .050000                      1007200200194 
    .284800    .001100   8.243812    .050000                      1007200200195 
    .285800    .001100   8.191180    .050000                      1007200200196 
    .286800    .001100   8.056729    .050000                      1007200200197 
    .287800    .001100   7.984332    .050000                      1007200200198 
    .288800    .001100   8.129126    .050000                      1007200200199 
    .289800    .001100   7.829196    .050000                      1007200200200 
    .290800    .001100   7.860224    .050000                      1007200200201 
    .291800    .001100   7.833459    .050000                      1007200200202 
    .292800    .001100   7.625398    .050000                      1007200200203 
    .293800    .001100   7.386130    .050000                      1007200200204 
    .294800    .001100   7.469354    .050000                      1007200200205 
    .295800    .001100   7.323712    .050000                      1007200200206 
    .296800    .001100   7.271697    .050000                      1007200200207 
    .297800    .001100   7.094846    .050000                      1007200200208 
    .298800    .001100   6.886786    .050000                      1007200200209 
    .299800    .001100   6.834771    .050000                      1007200200210 
    .300800    .001100   6.657920    .060000                      1007200200211 
    .301800    .001100   6.690240    .050000                      1007200200212 
    .302800    .001100   6.658879    .050000                      1007200200213 
    .303800    .001100   6.272100    .060000                      1007200200214 
    .304800    .001100   6.533436    .050000                      1007200200215 
    .305800    .001100   6.428902    .050000                      1007200200216 
    .306800    .001100   6.366181    .050000                      1007200200217 
    .307800    .001100   6.230286    .050000                      1007200200218 
    .308800    .001100   6.146658    .050000                      1007200200219 
    .309800    .001100   6.136204    .050000                      1007200200220 
    .310800    .001100   6.094390    .050000                      1007200200221 
    .311800    .001100   5.801692    .050000                      1007200200222 
    .312800    .001100   5.676250    .050000                      1007200200223 
    .313800    .001100   5.686704    .050000                      1007200200224 
    .314800    .001100   5.623983    .050000                      1007200200225 
    .315800    .001100   5.508994    .050000                      1007200200226 
    .316800    .001100   5.508994    .050000                      1007200200227 
    .317800    .001100   5.467180    .060000                      1007200200228 
    .318600    .001300   5.237203    .050000                      1007200200229 
    .319600    .001300   5.634436    .050000                      1007200200230 
    .320600    .001300   5.362645    .050000                      1007200200231 
    .321600    .001300   5.404459    .050000                      1007200200232 
    .322600    .001300   5.247657    .050000                      1007200200233 
    .323600    .001300   5.017680    .050000                      1007200200234 
    .324600    .001300   5.209984    .050000                      1007200200235 
    .325600    .001300   5.073432    .050000                      1007200200236 
    .326600    .001300   4.978896    .050000                      1007200200237 
    .327600    .001300   4.821336    .050000                      1007200200238 
    .328600    .001300   4.779320    .050000                      1007200200239 
    .329600    .001300   4.926376    .050000                      1007200200240 
    .330600    .001300   4.968392    .050000                      1007200200241 
    .331600    .001300   4.327648    .050000                      1007200200242 
    .334600    .001300   4.600752    .050000                      1007200200243 
    .335600    .001300   4.590248    .050000                      1007200200244 
    .336600    .001300   4.569240    .050000                      1007200200245 
    .337600    .001300   4.579744    .050000                      1007200200246 
    .338600    .001300   4.422184    .050000                      1007200200247 
    .339600    .001300   4.495712    .050000                      1007200200248 
    .340600    .001300   4.422184    .050000                      1007200200249 
    .341600    .001300   4.222608    .050000                      1007200200250 
    .342600    .001300   4.474704    .050000                      1007200200251 
    .343600    .001300   4.506216    .050000                      1007200200252 
    .344600    .001300   3.991520    .050000                      1007200200253 
    .345600    .001300   4.065048    .050000                      1007200200254 
    .346600    .001300   4.348656    .050000                      1007200200255 
    .347600    .001300   4.107064    .050000                      1007200200256 
    .348600    .001300   4.138576    .050000                      1007200200257 
    .349600    .001300   4.044040    .050000                      1007200200258 
    .350600    .001300   4.138576    .050000                      1007200200259 
    .351600    .001300   4.044040    .050000                      1007200200260 
    .352600    .001300   3.781440    .050000                      1007200200261 
    .353700    .001200   4.002024    .050000                      1007200200262 
    .354700    .001200   3.686904    .050000                      1007200200263 
    .355700    .001200   4.002024    .050000                      1007200200264 
    .356700    .001200   3.854968    .050000                      1007200200265 
    .357700    .001200   3.781440    .050000                      1007200200266 
    .358700    .001200   3.833960    .050000                      1007200200267 
    .359700    .001200   3.791944    .050000                      1007200200268 
    .360700    .001200   3.718416    .050000                      1007200200269 
    .361700    .001200   3.592368    .050000                      1007200200270 
    .362700    .001200   3.686904    .050000                      1007200200271 
    .363700    .001200   3.602872    .050000                      1007200200272 
    .364700    .001200   3.613376    .050000                      1007200200273 
    .365700    .001200   3.592368    .050000                      1007200200274 
    .366700    .001200   3.560856    .050000                      1007200200275 
    .367700    .001200   3.413799    .050000                      1007200200276 
    .368700    .001200   3.518840    .050000                      1007200200277 
    .369700    .001200   3.445312    .050000                      1007200200278 
    .370700    .001200   3.529344    .050000                      1007200200279 
    .371700    .001200   3.487328    .050000                      1007200200280 
    .372700    .001200   3.361280    .050000                      1007200200281 
    .373700    .001200   3.560856    .050000                      1007200200282 
    .374700    .001200   3.487328    .050000                      1007200200283 
    .375700    .001200   3.581864    .050000                      1007200200284 
    .376700    .001200   3.397386    .050000                      1007200200285 
    .377700    .001200   3.292852    .050000                      1007200200286 
    .378700    .001200   3.334666    .050000                      1007200200287 
    .379700    .001200   3.376480    .050000                      1007200200288 
    .380700    .001200   3.324213    .050000                      1007200200289 
    .381700    .001200   3.428748    .050000                      1007200200290 
    .382700    .001200   3.177864    .050000                      1007200200291 
    .383700    .001200   3.156957    .050000                      1007200200292 
    .384700    .001200   3.282399    .050000                      1007200200293 
    .385700    .001200   3.334666    .050000                      1007200200294 
    .386700    .001200   3.083782    .050000                      1007200200295 
    .387700    .001200   3.146503    .050000                      1007200200296 
    .388700    .001200   3.355573    .050000                      1007200200297 
    .389700    .001200   3.177864    .050000                      1007200200298 
    .390700    .001200   2.676096    .050000                      1007200200299 
    .392700    .001200   3.021061    .050000                      1007200200300 
    .393700    .001200   3.104689    .050000                      1007200200301 
    .394700    .001200   3.083782    .050000                      1007200200302 
    .395700    .001200   3.041968    .050000                      1007200200303 
    .396700    .001200   3.041968    .050000                      1007200200304 
    .397900    .001000   3.115143    .050000                      1007200200305 
    .398900    .001000   2.926980    .050000                      1007200200306 
    .399900    .001000   3.052422    .050000                      1007200200307 
    .400900    .001000   2.958340    .050000                      1007200200308 
    .401900    .001000   2.926980    .050000                      1007200200309 
    .402900    .001000   2.937433    .050000                      1007200200310 
    .403900    .001000   3.010608    .050000                      1007200200311 
    .404900    .001000   2.926980    .050000                      1007200200312 
    .405900    .001000   2.843352    .050000                      1007200200313 
    .406900    .001000   2.874711    .050000                      1007200200314 
    .407900    .001000   2.853805    .050000                      1007200200315 
    .408900    .001000   2.885166    .050000                      1007200200316 
    .409900    .001000   2.582014    .050000                      1007200200317 
    .411900    .001000   2.749270    .050000                      1007200200318 
    .412900    .001000   2.665642    .050000                      1007200200319 
    .413900    .001000   2.738817    .050000                      1007200200320 
    .414900    .001000   2.707456    .050000                      1007200200321 
    .415900    .001000   2.728363    .050000                      1007200200322 
    .416900    .001000   2.717910    .050000                      1007200200323 
    .417900    .001000   2.634282    .050000                      1007200200324 
    .418900    .001000   2.780631    .050000                      1007200200325 
    .419900    .001000   2.634282    .050000                      1007200200326 
    .420900    .001000   2.655189    .050000                      1007200200327 
    .421900    .001000   2.697003    .050000                      1007200200328 
    .422900    .001000   2.571561    .050000                      1007200200329 
    .423900    .001000   2.634282    .050000                      1007200200330 
    .424900    .001000   2.550654    .050000                      1007200200331 
    .425900    .001000   2.707456    .050000                      1007200200332 
    .426900    .001000   2.456572    .050000                      1007200200333 
    .427900    .001000   2.676096    .050000                      1007200200334 
    .428900    .001000   2.550654    .050000                      1007200200335 
    .429900    .001000   2.257956    .050000                      1007200200336 
    .430900    .001000   2.602921    .050000                      1007200200337 
    .431900    .001000   2.697003    .050000                      1007200200338 
    .432900    .001000   2.623828    .050000                      1007200200339 
    .433900    .001000   2.623828    .050000                      1007200200340 
    .434900    .001000   2.634282    .050000                      1007200200341 
    .435900    .001000   2.540200    .050000                      1007200200342 
    .436900    .001000   2.498386    .050000                      1007200200343 
    .437900    .001000   2.467026    .050000                      1007200200344 
    .438900    .001000   2.571561    .050000                      1007200200345 
    .439900    .001000   2.634282    .050000                      1007200200346 
    .440900    .001000   2.561107    .050000                      1007200200347 
    .441900    .001000   2.487933    .050000                      1007200200348 
    .442900    .001000   2.477479    .050000                      1007200200349 
    .443900    .001000   2.561107    .050000                      1007200200350 
    .444900    .001000   2.613375    .050000                      1007200200351 
    .445900    .001000   2.383398    .050000                      1007200200352 
    .446900    .001000   2.414758    .050000                      1007200200353 
    .447900    .001000   2.529747    .050000                      1007200200354 
    .448900    .001000   2.487933    .050000                      1007200200355 
    .450900    .001000   2.446119    .050000                      1007200200356 
    .451900    .001000   2.571561    .050000                      1007200200357 
    .452900    .001000   2.487933    .050000                      1007200200358 
    .453900    .001000   2.372944    .050000                      1007200200359 
    .454900    .001000   2.341584    .050000                      1007200200360 
    .455900    .001000   2.362491    .050000                      1007200200361 
    .456900    .001000   2.352036    .050000                      1007200200362 
    .457900    .001000   2.352036    .050000                      1007200200363 
    .458900    .001000   2.372944    .050000                      1007200200364 
    .459900    .001000   2.320677    .050000                      1007200200365 
    .460900    .001000   2.352036    .050000                      1007200200366 
    .461900    .001000   2.184781    .050000                      1007200200367 
    .462900    .001000   2.268409    .050000                      1007200200368 
    .463900    .001000   2.383398    .050000                      1007200200369 
    .464900    .001000   2.278863    .050000                      1007200200370 
    .465900    .001000   2.257956    .050000                      1007200200371 
    .466900    .001000   2.467026    .050000                      1007200200372 
    .467900    .001000   2.216142    .050000                      1007200200373 
    .468900    .001000   2.299770    .050000                      1007200200374 
    .469900    .001000   2.341584    .050000                      1007200200375 
    .470900    .001000   2.268409    .050000                      1007200200376 
    .471900    .001000   2.331130    .050000                      1007200200377 
    .472900    .001000   2.038432    .050000                      1007200200378 
    .473900    .001000   2.237049    .050000                      1007200200379 
    .475000    .000900   2.257956    .050000                      1007200200380 
    .476000    .000900   2.195235    .050000                      1007200200381 
    .477000    .000900   2.174328    .050000                      1007200200382 
    .478000    .000900   2.111607    .050000                      1007200200383 
    .479000    .000900   2.226595    .050000                      1007200200384 
    .480000    .000900   2.205688    .050000                      1007200200385 
    .481000    .000900   2.226595    .050000                      1007200200386 
    .482000    .000900   2.226595    .050000                      1007200200387 
    .483000    .000900   2.341584    .050000                      1007200200388 
    .484000    .000900   2.226595    .050000                      1007200200389 
    .485000    .000900   2.153421    .050000                      1007200200390 
    .486000    .000900   2.195235    .050000                      1007200200391 
    .487000    .000900   2.122060    .050000                      1007200200392 
    .488000    .000900   1.996618    .050000                      1007200200393 
    .489000    .000900   2.257956    .050000                      1007200200394 
    .490000    .000900   2.132514    .050000                      1007200200395 
    .491000    .000900   2.132514    .050000                      1007200200396 
    .492000    .000900   2.080246    .050000                      1007200200397 
    .493000    .000900   2.122060    .050000                      1007200200398 
    .494000    .000900   2.142967    .050000                      1007200200399 
    .495000    .000900   2.059339    .050000                      1007200200400 
    .496000    .000900   2.122060    .050000                      1007200200401 
    .497000    .000900   2.059339    .050000                      1007200200402 
    .498000    .000900   2.027979    .050000                      1007200200403 
    .499000    .000900   2.132514    .050000                      1007200200404 
    .500000    .000900   2.069793    .050000                      1007200200405 
    .501000    .000900   2.122060    .050000                      1007200200406 
    .502000    .000900   2.048886    .050000                      1007200200407 
    .503000    .000900   2.090699    .050000                      1007200200408 
    .504000    .000900   2.059339    .050000                      1007200200409 
    .505000    .000900   2.122060    .050000                      1007200200410 
    .506000    .000900   2.101153    .050000                      1007200200411 
    .507000    .000900   2.038432    .050000                      1007200200412 
    .508000    .000900   1.996618    .050000                      1007200200413 
    .509000    .000900   1.881630    .050000                      1007200200414 
    .510000    .000900   2.132514    .050000                      1007200200415 
    .511000    .000900   2.101153    .050000                      1007200200416 
    .512000    .000900   1.996618    .050000                      1007200200417 
    .513000    .000900   2.132514    .050000                      1007200200418 
    .514000    .000900   2.069793    .050000                      1007200200419 
    .515000    .000900   2.090699    .050000                      1007200200420 
    .516000    .000900   1.986165    .050000                      1007200200421 
    .517000    .000900   1.975711    .050000                      1007200200422 
    .518000    .000900   2.038432    .050000                      1007200200423 
    .519000    .000900   1.965258    .050000                      1007200200424 
    .520000    .000900   2.048886    .050000                      1007200200425 
    .522000    .000900   2.059339    .050000                      1007200200426 
    .523000    .000900   1.986165    .050000                      1007200200427 
    .524000    .000900   1.954804    .050000                      1007200200428 
    .525000    .000900   1.871176    .050000                      1007200200429 
    .526000    .000900   2.007072    .050000                      1007200200430 
    .527000    .000900   1.892083    .050000                      1007200200431 
    .528000    .000900   1.954804    .050000                      1007200200432 
    .529000    .000900   1.829360    .050000                      1007200200433 
    .530000    .000900   2.038432    .050000                      1007200200434 
    .531000    .000900   1.996618    .050000                      1007200200435 
    .532000    .000900   1.902537    .050000                      1007200200436 
    .533000    .000900   1.881630    .050000                      1007200200437 
    .534000    .000900   1.829360    .050000                      1007200200438 
    .535000    .000900   1.986165    .050000                      1007200200439 
    .536000    .000900   1.839816    .050000                      1007200200440 
    .537000    .000900   1.862137    .050000                      1007200200441 
    .538000    .000900   1.955764    .050000                      1007200200442 
    .539000    .000900   1.976570    .050000                      1007200200443 
    .540000    .000900   1.872540    .050000                      1007200200444 
    .541000    .000900   1.997376    .050000                      1007200200445 
    .542000    .000900   1.882943    .050000                      1007200200446 
    .543000    .000900   1.685286    .050000                      1007200200447 
    .544000    .000900   1.830928    .050000                      1007200200448 
    .545000    .000900   1.872540    .050000                      1007200200449 
    .546000    .000900   1.945361    .050000                      1007200200450 
    .547000    .000900   1.716495    .050000                      1007200200451 
    .548000    .000900   1.914152    .050000                      1007200200452 
    .549000    .000900   1.768510    .050000                      1007200200453 
    .550000    .000900   1.851734    .050000                      1007200200454 
    .551000    .000900   1.810122    .050000                      1007200200455 
    .552000    .000900   1.768510    .050000                      1007200200456 
    .553000    .000900   1.976570    .050000                      1007200200457 
    .554000    .000900   1.768510    .050000                      1007200200458 
    .555000    .000900   1.758107    .050000                      1007200200459 
    .556000    .000900   1.966166    .050000                      1007200200460 
    .557000    .000900   1.862137    .050000                      1007200200461 
    .558000    .000900   2.038988    .050000                      1007200200462 
    .559000    .000900   1.830928    .050000                      1007200200463 
    .560000    .000900   1.862137    .050000                      1007200200464 
    .561000    .000900   1.893346    .050000                      1007200200465 
    .562000    .000900   1.737301    .050000                      1007200200466 
    .563000    .000900   1.841331    .050000                      1007200200467 
    .564000    .000900   1.789316    .050000                      1007200200468 
    .565000    .000900   1.862137    .050000                      1007200200469 
    .566000    .000900   1.674883    .050000                      1007200200470 
    .567000    .000900   1.799719    .050000                      1007200200471 
    .568000    .000900   1.882943    .050000                      1007200200472 
    .569000    .000900   1.830928    .050000                      1007200200473 
    .570000    .000900   1.778913    .050000                      1007200200474 
    .571000    .000900   1.841331    .050000                      1007200200475 
    .572000    .000900   1.758107    .050000                      1007200200476 
    .573000    .000900   1.747704    .050000                      1007200200477 
    .574000    .000900   1.810122    .050000                      1007200200478 
    .575000    .000900   1.747704    .050000                      1007200200479 
    .576000    .000900   1.747704    .050000                      1007200200480 
    .577000    .000900   1.737301    .050000                      1007200200481 
    .578000    .000900   1.820523    .050000                      1007200200482 
    .579000    .000900   1.768510    .050000                      1007200200483 
    .580000    .000900   1.654077    .050000                      1007200200484 
    .581000    .000900   1.612465    .050000                      1007200200485 
    .582000    .000900   1.841331    .050000                      1007200200486 
    .583000    .000900   1.799719    .050000                      1007200200487 
    .584000    .000900   1.851734    .050000                      1007200200488 
    .585000    .000900   1.758107    .050000                      1007200200489 
    .586000    .000900   1.820523    .050000                      1007200200490 
    .587000    .000900   1.737301    .050000                      1007200200491 
    .588000    .000900   1.810122    .050000                      1007200200492 
