ENTRY            D8056   20230310                             D139D805600000001 
SUBENT        D8056001   20230310                             D139D805600100001 
BIB                  9         18                                 D805600100002 
TITLE      Proton and alpha-particles emission from the           D805600100003 
           interaction of 22 MeV energy protons with 59Co nucleus D805600100004 
AUTHOR     (G.A.Ussabayeva, T.K.Zholdybayev, B.M.Sadykov,         D805600100005 
            B.A.Duisebayev, Maulen Nassurlla, Zh.K.Kerimkulov,    D805600100006 
            A.Temirzhanov, K.M.Ismailov)                          D805600100007 
INSTITUTE  (4KASKAZ,4KASAFU,4KASAAT,4KASNZR)                      D805600100008 
           (4KASKAS) Satbayev University, Almaty                  D805600100009 
REFERENCE  (J,APP/B,16,2A-13,2023) Proceedings Supplement         D805600100010 
FACILITY   (ISOCY,4KASKAZ) U-150M                                 D805600100011 
SAMPLE     Self-supporting 59Co (5.2 mg/cm2, purity of 97%)       D805600100012 
METHOD     (EDE,BCINT)                                            D805600100013 
ERR-ANALYS (DATA-ERR) Uncertainty due to                          D805600100014 
            - counting statistics,                                D805600100015 
            - target thickness,                                   D805600100016 
            - beam energy,                                        D805600100017 
            - solid angle, and                                    D805600100018 
            - constant of beam integrator                         D805600100019 
HISTORY    (20230309C) Zholdybayev                                D805600100020 
ENDBIB              18          0                                 D805600100021 
COMMON               1          3                                 D805600100022 
EN                                                                D805600100023 
MEV                                                               D805600100024 
 22.                                                              D805600100025 
ENDCOMMON            3          0                                 D805600100026 
ENDSUBENT           25          0                                 D805600199999 
SUBENT        D8056002   20230310                             D139D805600200001 
BIB                  3          5                                 D805600200002 
REACTION   (27-CO-59(P,X)1-H-1,,DA/DE)                            D805600200003 
DETECTOR   (TELES,SI,SCIN) 100 um thick Si dE detector and 2.5 cm D805600200004 
            thick CsI E detector                                  D805600200005 
STATUS     (TABLE,,G.A.Ussabayeva+,J,APP/B,16,2A-13,2023) Data    D805600200006 
            received from T.Zholdybayev (not plotted in article)  D805600200007 
ENDBIB               5          0                                 D805600200008 
NOCOMMON             0          0                                 D805600200009 
DATA                 4        778                                 D805600200010 
ANG        E-CM       DATA-CM    DATA-ERR                         D805600200011 
ADEG       MEV        MB/SR/MEV  MB/SR/MEV                        D805600200012 
  30.        3.0         0.683      0.052                         D805600200013 
  30.        3.2         3.745      0.135                         D805600200014 
  30.        3.3         4.229      0.145                         D805600200015 
  30.        3.5         4.948      0.160                         D805600200016 
  30.        3.7         5.252      0.166                         D805600200017 
  30.        3.9         5.347      0.168                         D805600200018 
  30.        4.1         5.708      0.175                         D805600200019 
  30.        4.3         5.913      0.179                         D805600200020 
  30.        4.5         6.075      0.183                         D805600200021 
  30.        4.7         5.932      0.180                         D805600200022 
  30.        4.9         6.019      0.182                         D805600200023 
  30.        5.1         5.968      0.181                         D805600200024 
  30.        5.3         6.117      0.184                         D805600200025 
  30.        5.5         6.112      0.183                         D805600200026 
  30.        5.7         6.042      0.182                         D805600200027 
  30.        5.9         5.616      0.174                         D805600200028 
  30.        6.1         5.328      0.168                         D805600200029 
  30.        6.3         5.208      0.166                         D805600200030 
  30.        6.4         5.174      0.165                         D805600200031 
  30.        6.6         4.918      0.160                         D805600200032 
  30.        6.8         4.852      0.158                         D805600200033 
  30.        7.0         4.550      0.152                         D805600200034 
  30.        7.2         4.104      0.143                         D805600200035 
  30.        7.4         4.119      0.143                         D805600200036 
  30.        7.6         4.128      0.143                         D805600200037 
  30.        7.8         3.978      0.140                         D805600200038 
  30.        8.0         3.817      0.137                         D805600200039 
  30.        8.2         3.578      0.131                         D805600200040 
  30.        8.4         3.504      0.130                         D805600200041 
  30.        8.6         3.294      0.125                         D805600200042 
  30.        8.8         3.373      0.127                         D805600200043 
  30.        9.0         2.990      0.118                         D805600200044 
  30.        9.2         2.757      0.113                         D805600200045 
  30.        9.4         2.828      0.114                         D805600200046 
  30.        9.6         2.674      0.111                         D805600200047 
  30.        9.8         2.680      0.111                         D805600200048 
  30.       10.0         2.859      0.115                         D805600200049 
  30.       10.2         2.665      0.111                         D805600200050 
  30.       10.4         2.408      0.104                         D805600200051 
  30.       10.5         2.494      0.106                         D805600200052 
  30.       10.7         2.582      0.109                         D805600200053 
  30.       10.9         2.526      0.107                         D805600200054 
  30.       11.1         2.419      0.105                         D805600200055 
  30.       11.3         2.383      0.104                         D805600200056 
  30.       11.5         2.300      0.102                         D805600200057 
  30.       11.7         2.354      0.103                         D805600200058 
  30.       11.9         2.266      0.101                         D805600200059 
  30.       12.1         2.363      0.103                         D805600200060 
  30.       12.3         2.267      0.101                         D805600200061 
  30.       12.5         2.325      0.102                         D805600200062 
  30.       12.7         2.317      0.102                         D805600200063 
  30.       12.9         2.415      0.105                         D805600200064 
  30.       13.1         2.157      0.098                         D805600200065 
  30.       13.3         2.332      0.103                         D805600200066 
  30.       13.5         2.279      0.101                         D805600200067 
  30.       13.7         2.426      0.105                         D805600200068 
  30.       13.9         2.117      0.097                         D805600200069 
  30.       14.1         2.338      0.103                         D805600200070 
  30.       14.3         2.280      0.101                         D805600200071 
  30.       14.5         2.397      0.104                         D805600200072 
  30.       14.7         2.340      0.103                         D805600200073 
  30.       14.9         2.467      0.106                         D805600200074 
  30.       15.1         2.491      0.107                         D805600200075 
  30.       15.3         2.801      0.114                         D805600200076 
  30.       15.5         2.770      0.113                         D805600200077 
  30.       15.7         2.871      0.116                         D805600200078 
  30.       15.8         3.377      0.127                         D805600200079 
  30.       16.0         3.632      0.133                         D805600200080 
  30.       16.2         4.047      0.142                         D805600200081 
  30.       16.4         4.005      0.141                         D805600200082 
  30.       16.6         3.620      0.133                         D805600200083 
  30.       16.8         3.176      0.123                         D805600200084 
  30.       17.0         3.104      0.121                         D805600200085 
  30.       17.2         3.100      0.121                         D805600200086 
  30.       17.4         3.116      0.121                         D805600200087 
  30.       17.6         3.195      0.123                         D805600200088 
  30.       17.8         3.174      0.123                         D805600200089 
  30.       18.0         3.002      0.119                         D805600200090 
  30.       18.2         2.751      0.113                         D805600200091 
  30.       18.4         2.433      0.105                         D805600200092 
  30.       18.6         2.380      0.104                         D805600200093 
  30.       18.8         2.463      0.106                         D805600200094 
  30.       19.0         2.596      0.109                         D805600200095 
  30.       19.2         3.233      0.124                         D805600200096 
  30.       19.4         4.055      0.142                         D805600200097 
  30.       19.6         5.273      0.167                         D805600200098 
  30.       19.8         6.646      0.194                         D805600200099 
  30.       20.0         8.911      0.237                         D805600200100 
  30.       20.2        13.49       0.319                         D805600200101 
  30.       20.4        24.07       0.501                         D805600200102 
  30.       20.6        44.81       0.848                         D805600200103 
  30.       20.8        66.99       1.21                          D805600200104 
  30.       21.0        94.04       1.66                          D805600200105 
  30.       21.2        108.4        1.9                          D805600200106 
  30.       21.4        109.4        1.9                          D805600200107 
  30.       21.6        82.72       1.47                          D805600200108 
  45.        3.0         4.749      0.129                         D805600200109 
  45.        3.2         3.830      0.111                         D805600200110 
  45.        3.4         4.278      0.120                         D805600200111 
  45.        3.6         4.981      0.133                         D805600200112 
  45.        3.8         5.309      0.139                         D805600200113 
  45.        4.0         5.547      0.143                         D805600200114 
  45.        4.2         5.789      0.148                         D805600200115 
  45.        4.4         6.073      0.153                         D805600200116 
  45.        4.6         6.141      0.154                         D805600200117 
  45.        4.8         6.225      0.155                         D805600200118 
  45.        5.0         6.236      0.156                         D805600200119 
  45.        5.1         6.383      0.158                         D805600200120 
  45.        5.3         6.049      0.152                         D805600200121 
  45.        5.5         5.810      0.148                         D805600200122 
  45.        5.7         5.748      0.147                         D805600200123 
  45.        5.9         5.587      0.144                         D805600200124 
  45.        6.1         5.488      0.142                         D805600200125 
  45.        6.3         5.095      0.135                         D805600200126 
  45.        6.5         5.029      0.134                         D805600200127 
  45.        6.7         4.903      0.131                         D805600200128 
  45.        6.9         4.502      0.124                         D805600200129 
  45.        7.1         4.339      0.121                         D805600200130 
  45.        7.3         4.342      0.121                         D805600200131 
  45.        7.5         4.167      0.118                         D805600200132 
  45.        7.7         3.826      0.111                         D805600200133 
  45.        7.9         3.725      0.109                         D805600200134 
  45.        8.1         3.482      0.105                         D805600200135 
  45.        8.3         3.265      0.100                         D805600200136 
  45.        8.5         3.243      0.100                         D805600200137 
  45.        8.7         3.103      0.097                         D805600200138 
  45.        8.9         3.007      0.095                         D805600200139 
  45.        9.1         2.780      0.091                         D805600200140 
  45.        9.3         2.734      0.090                         D805600200141 
  45.        9.5         2.598      0.087                         D805600200142 
  45.        9.7         2.567      0.086                         D805600200143 
