ENTRY            E2387   20130326                             E115E238700000001 
SUBENT        E2387001   20130326                             E115E238700100001 
BIB                 13         39                                 E238700100002 
TITLE      Measurements and Monte Carlo calculations of           E238700100003 
           forward-angle secondary-neutron-production             E238700100004 
           cross-sections for 137 and 200 MeV proton-induced      E238700100005 
           reactions in carbon                                    E238700100006 
AUTHOR     (Y.Iwamoto, M.Hagiwara, T.Matsumoto, A.Masuda, H.Iwase,E238700100007 
            H.Yashima, T.Shima, A.Tamii, T.Nakamura)              E238700100008 
INSTITUTE  (2JPNJAE)                                              E238700100009 
           (2JPNKEK)                                              E238700100010 
           (2JPNAIS)                                              E238700100011 
           (2JPNKTO)                                              E238700100012 
           (2JPNOSA) Research Reactor Institute                   E238700100013 
           (2JPNTOH) Cyclotron and Radioisotope Center            E238700100014 
REFERENCE  (J,NIM/A,690,10,2012)                                  E238700100015 
PART-DET   (N)                                                    E238700100016 
INC-SOURCE Beam intensity is 10 to 60 nA.                         E238700100017 
SAMPLE     - Target is natural.                                   E238700100018 
           - Chemical-form of target is element.                  E238700100019 
           - Physical-form of target is solid.                    E238700100020 
           - Target-thickness is 342.5 mg/cm**2.                  E238700100021 
METHOD     (TOF) Flight path: about 90 MeV at 95 m, about 10 MeV  E238700100022 
                 at 20 m, and about 1 MeV at 7 m                  E238700100023 
FACILITY   (CYCLO,2JPNOSA) A frequency of 13.4 MHz with 137 and   E238700100024 
                           200 MeV protons at Research Center for E238700100025 
                           Nuclear Physics                        E238700100026 
DETECTOR   Solid angle: 4.14E-02(En: 3-15 MeV), 3.17E-02(En:      E238700100027 
           15-100 MeV), and 5.62E-02(En: over 100 MeV) msr        E238700100028 
           (SCIN) To detect neutron, NE213 organic liquid         E238700100029 
                  scintillator                                    E238700100030 
ERR-ANALYS (ERR-1,10.,15.) neutron detection efficiency (10-15%)  E238700100031 
           (ERR-2,,1.) Angular acceptance of all detectors (<1%)  E238700100032 
           (ERR-3) Air transmission                               E238700100033 
           (ERR-4,2.,3.) Threshold precision for each detectors   E238700100034 
                         (2-3%)                                   E238700100035 
ADD-RES    (COMP) 1. Monte-Carlo method (PHITS using nuclear data E238700100036 
                  file of JENDL/HE, ENDF/B and theoritical model  E238700100037 
                  of SOBAR-GEM, Bertini-GEM)                      E238700100038 
           (COMP) 2. Intranuclear cascade model                   E238700100039 
HISTORY    (20121009C) Ichiko                                     E238700100040 
           (20130305R) Received by e-mail from Y.Iwamoto          E238700100041 
ENDBIB              39          0                                 E238700100042 
COMMON               1          3                                 E238700100043 
ERR-3                                                             E238700100044 
PER-CENT                                                          E238700100045 
 2.                                                               E238700100046 
ENDCOMMON            3          0                                 E238700100047 
ENDSUBENT           46          0                                 E238700199999 
SUBENT        E2387002   20130326                             E115E238700200001 
BIB                  4          5                                 E238700200002 
REACTION   (6-C-0(P,X)0-NN-1,,DA/DE)                              E238700200003 
EN-SEC     ANG is polar angle (lab.) between beam and neutron     E238700200004 
           (E,N)                                                  E238700200005 
ERR-ANALYS (ERR-S) 1% (peak), 2-3% (continuum) (<3%)              E238700200006 
STATUS     (TABLE) Plotted in Fig.5 of J. NIM/A, 690, p10 (2012). E238700200007 
ENDBIB               5          0                                 E238700200008 
COMMON               1          3                                 E238700200009 
EN                                                                E238700200010 
MEV                                                               E238700200011 
 137.                                                             E238700200012 
ENDCOMMON            3          0                                 E238700200013 
DATA                 4        540                                 E238700200014 
ANG        E          DATA       ERR-S                            E238700200015 
ADEG       MEV        MB/SR/MEV  MB/SR/MEV                        E238700200016 
         0.        3.5   7.59E-01   6.69E-03                      E238700200017 
         0.        4.5   6.59E-01   6.02E-03                      E238700200018 
         0.        5.5   5.68E-01   5.66E-03                      E238700200019 
         0.        6.5   4.77E-01   5.35E-03                      E238700200020 
         0.        7.5   4.38E-01   5.28E-03                      E238700200021 
         0.        8.5   3.93E-01   5.11E-03                      E238700200022 
         0.        9.5   3.73E-01   5.17E-03                      E238700200023 
         0.       10.5   3.61E-01   5.22E-03                      E238700200024 
         0.       11.5   3.37E-01   5.17E-03                      E238700200025 
         0.       12.5   3.38E-01   5.29E-03                      E238700200026 
         0.       13.5   3.32E-01   5.31E-03                      E238700200027 
         0.        15.   3.22E-01   7.39E-03                      E238700200028 
         0.        17.   3.17E-01   7.30E-03                      E238700200029 
         0.        19.   3.29E-01   7.51E-03                      E238700200030 
         0.        21.   3.37E-01   7.78E-03                      E238700200031 
         0.        23.   3.42E-01   7.97E-03                      E238700200032 
         0.        25.   3.66E-01   8.24E-03                      E238700200033 
         0.        27.   3.71E-01   8.27E-03                      E238700200034 
         0.        29.   3.85E-01   8.42E-03                      E238700200035 
         0.        31.   4.10E-01   8.64E-03                      E238700200036 
         0.        33.   4.16E-01   8.74E-03                      E238700200037 
         0.        35.   4.42E-01   9.00E-03                      E238700200038 
         0.        37.   4.53E-01   9.14E-03                      E238700200039 
         0.        39.   4.81E-01   9.43E-03                      E238700200040 
         0.        41.   4.80E-01   9.42E-03                      E238700200041 
         0.        43.   5.05E-01   9.68E-03                      E238700200042 
         0.        45.   5.34E-01   9.95E-03                      E238700200043 
         0.        47.   5.30E-01   9.91E-03                      E238700200044 
         0.        49.   5.26E-01   9.88E-03                      E238700200045 
         0.        51.   5.46E-01   1.01E-02                      E238700200046 
         0.        53.   5.62E-01   1.03E-02                      E238700200047 
         0.        55.   5.68E-01   1.04E-02                      E238700200048 
         0.        57.   5.87E-01   1.07E-02                      E238700200049 
         0.        59.   6.09E-01   1.10E-02                      E238700200050 
         0.        61.   5.86E-01   1.08E-02                      E238700200051 
         0.        63.   6.14E-01   1.12E-02                      E238700200052 
         0.        65.   5.82E-01   1.10E-02                      E238700200053 
         0.        67.   5.87E-01   1.11E-02                      E238700200054 
         0.        69.   5.74E-01   1.11E-02                      E238700200055 
         0.        71.   6.11E-01   1.15E-02                      E238700200056 
         0.        73.   5.56E-01   1.10E-02                      E238700200057 
         0.        75.   5.88E-01   1.14E-02                      E238700200058 
         0.        77.   5.79E-01   1.14E-02                      E238700200059 
         0.        79.   6.17E-01   1.18E-02                      E238700200060 
         0.        81.   6.10E-01   1.18E-02                      E238700200061 
         0.        83.   5.93E-01   1.17E-02                      E238700200062 
         0.        85.   6.34E-01   1.21E-02                      E238700200063 
         0.        87.   6.37E-01   1.21E-02                      E238700200064 
         0.        89.   6.49E-01   1.22E-02                      E238700200065 
         0.        91.   6.05E-01   1.18E-02                      E238700200066 
         0.        93.   6.26E-01   1.20E-02                      E238700200067 
         0.        95.   6.48E-01   1.22E-02                      E238700200068 
         0.        97.   6.13E-01   1.19E-02                      E238700200069 
         0.        99.   6.30E-01   1.21E-02                      E238700200070 
         0.      100.5   6.53E-01   1.74E-02                      E238700200071 
         0.      101.5   6.46E-01   1.72E-02                      E238700200072 
         0.      102.5   6.81E-01   1.67E-02                      E238700200073 
         0.      103.5   7.36E-01   1.66E-02                      E238700200074 
         0.      104.5   7.47E-01   1.65E-02                      E238700200075 
         0.      105.5   7.93E-01   1.68E-02                      E238700200076 
         0.      106.5   8.45E-01   1.53E-02                      E238700200077 
         0.      107.5   8.62E-01   1.51E-02                      E238700200078 
         0.      108.5   1.02E+00   1.67E-02                      E238700200079 
         0.      109.5   1.15E+00   1.71E-02                      E238700200080 
         0.      110.5   1.27E+00   2.03E-02                      E238700200081 
         0.      111.5   1.11E+00   2.34E-02                      E238700200082 
         0.      112.5   1.02E+00   1.75E-02                      E238700200083 
         0.      113.5   1.14E+00   1.14E-02                      E238700200084 
         0.      114.5   5.89E-01   1.34E-02                      E238700200085 
         0.      115.5   2.26E-01   1.24E-02                      E238700200086 
         0.      116.5   1.32E+00   6.85E-03                      E238700200087 
         0.      117.5   4.31E+00   5.14E-03                      E238700200088 
         0.      118.5   2.77E+00   5.34E-03                      E238700200089 
         0.      119.5   2.55E-02   5.26E-03                      E238700200090 
         0.      120.5   2.88E-02   5.28E-03                      E238700200091 
         0.      121.5   3.99E-02   5.43E-03                      E238700200092 
         0.      122.5   1.49E-02   5.17E-03                      E238700200093 
         0.      123.5   1.88E-02   4.84E-03                      E238700200094 
         0.      124.5   2.14E-02   5.25E-03                      E238700200095 
         0.      125.5   7.08E-03   5.00E-03                      E238700200096 
         0.      126.5   0.00E+00   4.82E-03                      E238700200097 
         0.      127.5   1.09E-02   5.29E-03                      E238700200098 
         0.      128.5   4.00E-02   5.06E-03                      E238700200099 
         0.      129.5   8.12E-02   4.84E-03                      E238700200100 
         0.      130.5   3.20E-02   4.79E-03                      E238700200101 
         0.      131.5   1.01E-02   5.37E-03                      E238700200102 
         0.      132.5   2.92E-02   5.07E-03                      E238700200103 
         0.      133.5   3.29E-02   4.71E-03                      E238700200104 
         0.      134.5   0.00E+00   5.16E-03                      E238700200105 
         5.        3.5   7.63E-01   8.91E-03                      E238700200106 
         5.        4.5   6.64E-01   8.02E-03                      E238700200107 
         5.        5.5   6.07E-01   7.77E-03                      E238700200108 
         5.        6.5   5.04E-01   7.30E-03                      E238700200109 
         5.        7.5   4.72E-01   7.28E-03                      E238700200110 
         5.        8.5   4.08E-01   6.92E-03                      E238700200111 
         5.        9.5   4.06E-01   7.17E-03                      E238700200112 
         5.       10.5   3.79E-01   7.11E-03                      E238700200113 
         5.       11.5   3.56E-01   7.05E-03                      E238700200114 
         5.       12.5   3.43E-01   7.08E-03                      E238700200115 
         5.       13.5   3.37E-01   7.09E-03                      E238700200116 
         5.        15.   3.39E-01   8.45E-03                      E238700200117 
         5.        17.   3.48E-01   8.53E-03                      E238700200118 
         5.        19.   3.56E-01   8.70E-03                      E238700200119 
         5.        21.   3.68E-01   9.06E-03                      E238700200120 
         5.        23.   3.83E-01   9.38E-03                      E238700200121 
         5.        25.   3.82E-01   9.37E-03                      E238700200122 
         5.        27.   3.93E-01   9.48E-03                      E238700200123 
         5.        29.   4.15E-01   9.73E-03                      E238700200124 
         5.        31.   4.37E-01   9.94E-03                      E238700200125 
         5.        33.   4.56E-01   1.02E-02                      E238700200126 
         5.        35.   4.69E-01   1.03E-02                      E238700200127 
         5.        37.   4.84E-01   1.05E-02                      E238700200128 
         5.        39.   4.99E-01   1.07E-02                      E238700200129 
         5.        41.   5.24E-01   1.10E-02                      E238700200130 
         5.        43.   5.35E-01   1.11E-02                      E238700200131 
