ENTRY            O2559   20230217                             O094O2559  0    1 
SUBENT        O2559001   20230217                             O094O2559  1    1 
BIB                 11         22                                 O2559  1    2 
TITLE      Differential cross-section measurements for proton     O2559  1    3 
            elastic scattering on NatSi in the energy range       O2559  1    4 
            Ep,lab = 3-5 MeV, suitable for EBS                    O2559  1    5 
AUTHOR     (F.Maragkos, N.Dimitrakopoulos, E.Georgali,            O2559  1    6 
            M.Kokkoris, A.Lagogiannis, E.Ntemou, N.Patronis,      O2559  1    7 
            Th.Tsakiris, A.Ziagkova)                              O2559  1    8 
INSTITUTE  (2GRCTUA,2GRCIOA,2GRCATH)                              O2559  1    9 
REFERENCE  (J,NIM/B,507,20,2021)                                  O2559  1   10 
           #doi:10.1016/j.nimb.2021.09.006                        O2559  1   11 
FACILITY   (VDGT,2GRCATH)                                         O2559  1   12 
DETECTOR   (SIBAR) Scattering chamber with six silicon surface    O2559  1   13 
           barrier (SSB) detectors of 500 um in thickness.        O2559  1   14 
SAMPLE     A thin self-supported foil of Si3N4. An ultrathin      O2559  1   15 
           layer of 197Au was evaporated on the surface of the    O2559  1   16 
           foil.                                                  O2559  1   17 
MONITOR    (79-AU-197(P,EL)79-AU-197,,DA,,,CALC)                  O2559  1   18 
ANALYSIS   (NTRTH)                                                O2559  1   19 
STATUS     (TABLE) Data received from F.Maragkos                  O2559  1   20 
           (APRVD) Proof-read by F.Maragkos (2023-02-21)          O2559  1   21 
HISTORY    (20211212R) Data reveived from F.Maragkos for          O2559  1   22 
           IBANDL database.                                       O2559  1   23 
           (20230217C) VS                                         O2559  1   24 
ENDBIB              22          0                                 O2559  1   25 
NOCOMMON             0          0                                 O2559  1   26 
ENDSUBENT           25          0                                 O2559  199999 
SUBENT        O2559002   20230217                             O094O2559  2    1 
BIB                  3          4                                 O2559  2    2 
REACTION   (14-SI-0(P,EL)14-SI-0,,DA)                             O2559  2    3 
ERR-ANALYS (ERR-S) Statistical uncertainty reported               O2559  2    4 
STATUS     (TABLE) Fig. 4 a-f of                                  O2559  2    5 
           Nucl.Instrum.Method Phys.Res.B507(2021)20              O2559  2    6 
ENDBIB               4          0                                 O2559  2    7 
COMMON               1          3                                 O2559  2    8 
EN-ERR                                                            O2559  2    9 
KEV                                                               O2559  2   10 
 6.000                                                            O2559  2   11 
ENDCOMMON            3          0                                 O2559  2   12 
DATA                 4        978                                 O2559  2   13 
ANG        EN         DATA       ERR-S                            O2559  2   14 
ADEG       KEV        MB/SR      MB/SR                            O2559  2   15 
 120.00     3002.000    58.272    2.788                           O2559  2   16 
 120.00     3012.000    58.903    2.720                           O2559  2   17 
 120.00     3022.000    56.458    2.611                           O2559  2   18 
 120.00     3032.000    58.309    2.708                           O2559  2   19 
 120.00     3042.000    54.505    2.550                           O2559  2   20 
 120.00     3052.000    57.141    2.636                           O2559  2   21 
 120.00     3062.000    57.181    2.766                           O2559  2   22 
 120.00     3072.000    51.743    2.418                           O2559  2   23 
 120.00     3082.000    53.812    2.541                           O2559  2   24 
 120.00     3092.000    51.334    2.424                           O2559  2   25 
 120.00     3102.000    52.992    2.502                           O2559  2   26 
 120.00     3112.000    35.501    1.710                           O2559  2   27 
 120.00     3122.000    42.089    1.975                           O2559  2   28 
 120.00     3132.000    45.797    2.210                           O2559  2   29 
 120.00     3142.000    46.367    2.195                           O2559  2   30 
 120.00     3152.000    46.160    2.144                           O2559  2   31 
 120.00     3162.000    48.329    2.284                           O2559  2   32 
 120.00     3172.000    44.350    2.148                           O2559  2   33 
 120.00     3182.000    44.883    2.122                           O2559  2   34 
 120.00     3192.000    46.203    2.200                           O2559  2   35 
 120.00     3202.000    47.668    2.258                           O2559  2   36 
 120.00     3212.000    49.138    2.302                           O2559  2   37 
 120.00     3222.000    41.621    1.942                           O2559  2   38 
 120.00     3232.000    48.368    2.260                           O2559  2   39 
 120.00     3242.000    47.556    1.942                           O2559  2   40 
 120.00     3252.000    42.671    2.027                           O2559  2   41 
 120.00     3262.000    46.008    2.151                           O2559  2   42 
 120.00     3272.000    42.422    2.014                           O2559  2   43 
 120.00     3282.000    43.427    2.049                           O2559  2   44 
 120.00     3292.000    43.958    2.055                           O2559  2   45 
 120.00     3302.000    39.521    1.816                           O2559  2   46 
 120.00     3312.000    38.839    1.900                           O2559  2   47 
 120.00     3322.000    35.620    1.751                           O2559  2   48 
 120.00     3332.000    34.364    1.703                           O2559  2   49 
 120.00     3342.000    39.762    1.901                           O2559  2   50 
 120.00     3352.000    78.459    3.445                           O2559  2   51 
 120.00     3362.000    53.610    2.469                           O2559  2   52 
 120.00     3372.000    51.134    2.264                           O2559  2   53 
 120.00     3382.000    48.682    2.236                           O2559  2   54 
 120.00     3392.000    43.920    1.836                           O2559  2   55 
 120.00     3402.000    43.586    1.709                           O2559  2   56 
 120.00     3412.000    44.897    2.060                           O2559  2   57 
 120.00     3422.000    43.902    1.998                           O2559  2   58 
 120.00     3432.000    41.352    1.904                           O2559  2   59 
 120.00     3452.000    38.427    1.643                           O2559  2   60 
 120.00     3472.000    34.985    1.585                           O2559  2   61 
 120.00     3492.000    36.005    1.739                           O2559  2   62 
 120.00     3512.000    32.301    1.640                           O2559  2   63 
 120.00     3522.000    30.204    1.500                           O2559  2   64 
 120.00     3532.000    28.584    1.424                           O2559  2   65 
 120.00     3542.000    29.705    1.466                           O2559  2   66 
 120.00     3552.000    27.588    1.346                           O2559  2   67 
 120.00     3572.000    22.430    1.139                           O2559  2   68 
 120.00     3582.000    20.483    1.101                           O2559  2   69 
 120.00     3592.000    20.148    0.940                           O2559  2   70 
 120.00     3602.000    19.098    0.890                           O2559  2   71 
 120.00     3612.000    20.456    0.983                           O2559  2   72 
 120.00     3622.000    19.386    0.922                           O2559  2   73 
 120.00     3632.000    20.815    0.996                           O2559  2   74 
 120.00     3642.000    20.240    0.979                           O2559  2   75 
 120.00     3652.000    22.485    1.089                           O2559  2   76 
 120.00     3662.000    21.741    1.066                           O2559  2   77 
 120.00     3672.000    20.720    1.002                           O2559  2   78 
 120.00     3672.000    21.132    1.021                           O2559  2   79 
 120.00     3682.000    19.647    0.954                           O2559  2   80 
 120.00     3692.000    20.579    1.003                           O2559  2   81 
 120.00     3702.000    20.949    1.023                           O2559  2   82 
 120.00     3712.000    19.224    0.936                           O2559  2   83 
 120.00     3722.000    19.914    0.968                           O2559  2   84 
 120.00     3732.000    20.623    1.020                           O2559  2   85 
 120.00     3742.000    21.102    1.061                           O2559  2   86 
 120.00     3752.000    21.150    1.019                           O2559  2   87 
 120.00     3762.000    19.925    0.947                           O2559  2   88 
 120.00     3772.000    21.221    1.026                           O2559  2   89 
 120.00     3782.000    19.375    0.938                           O2559  2   90 
 120.00     3792.000    20.250    0.984                           O2559  2   91 
 120.00     3802.000    19.275    0.920                           O2559  2   92 
 120.00     3812.000    20.025    0.974                           O2559  2   93 
 120.00     3822.000    18.853    0.912                           O2559  2   94 
